C0 (1180 genes)	C1 (62 genes)	C2 (1100 genes)	C3 (379 genes)	C4 (15 genes)	C5 (132 genes)	C6 (941 genes)	C7 (109 genes)
Genes	Genes	Genes	Genes	Genes	Genes	Genes	Genes
0610010K14Rik	2610301B20Rik	1110002E22Rik	1190002N15Rik	Arhgap10	AU015228	1700030K09Rik	2610507B11Rik
0610040B10Rik	Aknad1	1110065P20Rik	1600014C10Rik	Ccdc36	Acsl5	4930402H24Rik	4833420G17Rik
1110008L16Rik	Aktip	1500002C15Rik	9530068E07Rik	Esr1	Adck1	4933408J17Rik	AU021092
1110008P14Rik	Atxn10	1500009C09Rik	A3galt2	Fam83d	Agps	5031425E22Rik	Actr3
1110012L19Rik	Basp1	1500035N22Rik	A530064D06Rik	Gcsh	Arhgap30	5031439G07Rik	Adal
1110032A03Rik	Camta2	1520401A03Rik	AI837181	Grn	Atg16l1	9930104L06Rik	Ahcyl1
1700017B05Rik	Ccndbp1	1600029O15Rik	Abcb1a	Nln	Atp2a2	A330023F24Rik	Ankhd1
1700056E22Rik	Cd5	1700008J07Rik	Acer3	Pqlc2	Atp8a1	A430078G23Rik	Atp13a3
1810058I24Rik	Cers5	1700013F07Rik	Adamts6	Pus7	Bclaf1	A530088E08Rik	BC005537
2210016F16Rik	Cnep1r1	1700020A23Rik	Adgra1	Rrp9	Cdk7	AU022252	Bclaf3
2300009A05Rik	Cnn2	1700022A21Rik	Aen	Rsl24d1	Cggbp1	Aagab	Birc6
2310011J03Rik	Ctsw	1700029I15Rik	Agrn	Shmt1	Champ1	Aamp	Brd7
2310039H08Rik	Cyb5a	1700066M21Rik	Aida	Wdr36	Cmtm6	Aard	Btaf1
2310057M21Rik	Dctn6	1700086O06Rik	Alms1	Yrdc	Coa5	Abcf3	Cep295
2410022M11Rik	Dhrs4	1810013D15Rik	Amigo2	Zc3h7b	Crk	Abi1	Clk4
2610001J05Rik	Emc2	2200002D01Rik	Ankle2		Cstf2	Abraxas2	Col4a3bp
2610318N02Rik	Fam149b	2210409E12Rik	Aoc2		Dcun1d2	Abtb1	Crlf3
2700062C07Rik	Fam3a	2310030G06Rik	Arf4		Ddx27	Acad8	Cyld
3000002C10Rik	Fam45a	2310068J16Rik	Arl5a		Ddx47	Acadm	Dcaf17
4930426L09Rik	Fcer1g	2610028H24Rik	Asah2		Dstyk	Acap1	Ddx5
4930453N24Rik	Glipr1	2610528A11Rik	Asap2		Ecpas	Acbd3	Dicer1
4930513N10Rik	Glo1	2810025M15Rik	Asb13		Efl1	Acbd5	Dnajc13
