Starting data and time	Friday 06 December 2019 (16:58:53)
Ending date and time	Friday 06 December 2019 (17:03:23)
Time consumed	0 hours, 4 minutes, and 29 seconds
Number of datasets	1
Total number of input genes	20309
Genes included in the analysis	20309
Genes filtered out from the analysis	0
Number of clusters	8
Total number of genes in clusters	3918
Genes not included in any cluster	16391
Min cluster size	15
Max cluster size	1180
Average cluster size	489.75
Number of samples (including replicates)	22
Number of conditions	22
