C0 (1146 genes)	C1 (25 genes)	C2 (29 genes)	C3 (712 genes)	C4 (19 genes)	C5 (298 genes)	C6 (21 genes)	C7 (66 genes)	C8 (25 genes)	C9 (94 genes)	C10 (23 genes)	C11 (1040 genes)	C12 (50 genes)	C13 (67 genes)	C14 (16 genes)
Genes	Genes	Genes	Genes	Genes	Genes	Genes	Genes	Genes	Genes	Genes	Genes	Genes	Genes	Genes
0610010K14Rik	Aknaos	Adra2b	0610040J01Rik	A330008L17Rik	1600014C10Rik	Abcb1b	1810032O08Rik	Abhd8	1700030K09Rik	Arhgap45	1110002L01Rik	5031439G07Rik	Abcd1	Asic4
1110006O24Rik	Basp1	Atn1	1110002E22Rik	Casp8	1700022A21Rik	Acer3	Adck5	Actr1b	1700086D15Rik	Arid1a	2610005L07Rik	Adamtsl2	Agfg2	Asl
1110008L16Rik	Cmpk1	Bbs9	1110065P20Rik	Cryl1	3830406C13Rik	Acot6	Anapc13	Arl10	4930402H24Rik	Atg2b	2610507B11Rik	Afg1l	Akna	Caln1
1110008P14Rik	Emc2	Cast	1500002C15Rik	Ddx59	4931414P19Rik	Agpat5	Brms1	C530005A16Rik	4933408J17Rik	Cep128	2700049A03Rik	Ago2	Ap2a2	Ccdc114
1110012L19Rik	Epha5	Dubr	1500009C09Rik	Exoc6	9330175E14Rik	Crim1	Ccdc9	Cbx8	Agap2	Fbp1	2900026A02Rik	Arrb2	Arf3	Ceacam13
1110032A03Rik	Fam45a	Gdf15	1500035N22Rik	Fhit	9530068E07Rik	Grk5	Chid1	Cdyl	Aplf	Hdhd5	4833420G17Rik	Atp6ap2	Atp1b1	Ctsq
1700017B05Rik	Fcrl1	Gimap4	1520401A03Rik	Glrx	A530064D06Rik	Hhat	Coasy	Cenph	Atxn1l	Itsn1	4930438A08Rik	Atp6v1a	Bcas1	Dab2ip
1700056E22Rik	Glipr1	Hamp2	1600029O15Rik	Hipk2	A730013G03Rik	Kif1b	Cops7a	Copg1	Blvra	Kmt2a	4930470P17Rik	Bicra	Ccr1	Frmpd3
1810058I24Rik	Gm15441	Hsd17b11	1700008J07Rik	Igfbp5	Adipor2	Mettl13	Cpeb3	Dolpp1	C2cd2l	Limd1	4930523C07Rik	C9orf72	Cd81	Fzd4
2210016F16Rik	Gm568	Ids	1700029I15Rik	Klrb1f	Aen	Olfr1450	Csk	Galnt6	Capns2	Naa30	4930546C10Rik	Cat	Cdkn1b	Gabrg3
2300009A05Rik	Gmfg	Maml3	1700066M21Rik	Otub2	Agrn	Pisd	Cwc25	Gm10741	Ccdc117	Olfr1339	4931406P16Rik	Ccdc181	Cotl1	Olfr155
2310039H08Rik	Gng2	Mybph	1700086O06Rik	Pdk3	Aida	Pus1	Dbnl	Golph3l	Cep135	Pkn1	4932438A13Rik	Ccpg1	Crat	Olfr170
2310057M21Rik	Gpr108	Naaa	1810013D15Rik	Rpl18a	Amigo2	Rundc3b	Ddx19a	H2-Q5	Cep85	Pofut1	4933402J07Rik	Cdc42se1	Crisp1	Olfr178
2410022M11Rik	H60b	Olfr1441	2200002D01Rik	Sh3glb1	Ankfy1	Sipa1l1	Dph2	Hyou1	Crkl	Prdm15	5031425E22Rik	Ceacam11	Csnk1g2	Ppcs
2610001J05Rik	I730030J21Rik	Olfr984	2210409E12Rik	Smad1	Ankib1	Slc19a1	Dusp12	Irf2bpl	Csnk1d	Prl8a2	5530400C23Rik	Ceacam2	Dcaf12	Ppp2r2c
2610318N02Rik	Inpp5k	Oprd1	2310068J16Rik	Smpx	Ankle2	St6galnac6	Gas5	Mns1	Ctsl	Ptpn23	6330407A03Rik	Commd8	Def6	Rhod
2700062C07Rik	Mff	Pacs1	2610528A11Rik	Svbp	Aqp6	Tas2r108	Grasp	Nfya	Cybc1	Sbf1	8030462N17Rik	Ctdsp2	Dhrs1	
3000002C10Rik	Myl6b	Pbx4	2810025M15Rik	Tfg	Arf4	Tmem131	Gtf3c3	Rragb	Defb7	Sympk	9430015G10Rik	Dnajc10	Dpysl2	
4930426L09Rik	Pnkd	Phactr1	3110040M04Rik	Tmem17	Asah2	Ube2q2	Gtpbp4	Slc22a5	Dnajc18	Terf2	AU021092	Fermt3	Fam221a	
4930453N24Rik	Ptprn	Pitpnc1	3110053B16Rik		Asb13	Zfp365	Ifrd1	Sult2a6	Dusp16	Tmem43	Abca1	Gbf1	Fcgr3	
4930513N10Rik	Scmh1	Rbpms	4930407I10Rik		Asph	Zfp85os	Kbtbd4	Tmem159	Efhd2	Tnks	Abcc5	H2-Eb2	Galnt10	
4930515G01Rik	Sh3bgrl3	Rpl10a	4930431F12Rik		Atf3		Mars2	Ubxn11	Eid3	Trit1	Abcd3	Hoxd3os1	Gba	
4930579K19Rik	Tcn2	Siah3	4930451I11Rik		Azi2		Memo1	Zc2hc1a	Fam120b	Ttc7	Acad9	Hvcn1	Gdi2	
4933427G23Rik	Tom1l1	Tax1bp3	4930503B20Rik		B4galt5		Mief1	Zfp101	Fam173b		Acadm	Itgb7	Ghdc	
6030458C11Rik	Wfdc17	Tmprss7	4930506C21Rik		Bard1		Mir677	Zfp46	Fam210b		Acap2	Map3k4	Gnai2	
6230400D17Rik		Tspan13	4930579G18Rik		Calhm6		Mon1a		Fkbp4		Acbd3	Mkl2	Hadha	
9130401M01Rik		Uroc1	4931440P22Rik		Camk4		Mthfd1		Fmnl3		Acbd5	Mknk2	Il27ra	
A930005H10Rik		Zfhx3	5430427O19Rik		Car13		Mul1		Fxr2		Acin1	Myh9	Kcnab2	
AA414768		Zfp9	5930403L14Rik		Cbx4		Mvb12a		Ggta1		Acsl1	Myo1g	Lasp1	
AI413582			6030408B16Rik		Ccdc50		Ndor1		Gmeb2		Acss1	Ncf2	Lsp1	
Aaas			6030468B19Rik		Ccrl2		Ndufb2		Golm1		Actr2	Nipal3	Mapk11	
