C0 (124 genes)	C1 (24 genes)	C2 (36 genes)	C3 (14 genes)	C4 (45 genes)	C5 (107 genes)	C6 (19 genes)	C7 (14 genes)	C8 (16 genes)	C9 (20 genes)	C10 (15 genes)
Genes	Genes	Genes	Genes	Genes	Genes	Genes	Genes	Genes	Genes	Genes
BC085105	BC103768	NM_001003898	NM_001145827	NM_001013813	AF045513	NM_001036740	NM_001025313	NM_001130409	BC010581	BC083141
NM_001005421	NM_001033156	NM_001013811	NM_001164433	NM_001039185	AF163751	NM_001039175	NM_007988	NM_001164314	NM_001013368	NM_028053
NM_001005858	NM_001037759	NM_001079694	NM_001271898	NM_001077189	AF181116	NM_001042655	NM_009272	NM_001199271	NM_001113179	NM_078479
NM_001008497	NM_001083967	NM_001080557	NM_001290514	NM_001081040	BC128281	NM_001136069	NM_010731	NM_001276425	NM_001177625	NR_002842
NM_001013371	NM_001134391	NM_001081183	NM_010688	NM_001111110	L19737	NM_001306222	NM_010792	NM_001286158	NM_007630	NR_002902
NM_001025385	NM_001136484	NM_001103179	NM_015759	NM_001146346	NM_001001493	NM_007901	NM_016859	NM_001301250	NM_007659	NR_002905
NM_001033196	NM_001160378	NM_001123037	NM_021462	NM_001161365	NM_001004191	NM_008338	NM_026472	NM_001303102	NM_009104	NR_004418
NM_001039050	NM_001163572	NM_001159492	NM_026272	NM_001253737	NM_001008705	NM_008494	NM_138745	NM_009728	NM_009828	NR_027866
NM_001039103	NM_001171007	NM_001163006	NM_029669	NM_001271358	NM_001024206	NM_008535	NM_138747	NM_020505	NM_010436	NR_028481
NM_001039530	NM_001199043	NM_001163505	NM_080553	NM_001276301	NM_001037999	NM_011498	NM_139236	NM_025462	NM_010615	NR_028513
NM_001045540	NM_001243132	NM_001164159	NM_153119	NM_001282021	NM_001081108	NM_011838	NM_144918	NM_025478	NM_011121	NR_028543
NM_001048207	NM_001289661	NM_001170953	NM_153513	NM_001291275	NM_001102650	NM_019566	NM_145620	NM_025903	NM_011623	NR_028550
NM_001081020	NM_001289704	NM_001289690	NM_175352	NM_007725	NM_001111073	NM_022331	NM_153419	NM_028451	NM_013538	NR_029412
NM_001081024	NM_001310534	NM_001303033	NM_198109	NM_009213	NM_001122873	NM_025346	NM_198609	NM_029362	NM_016904	NR_037680
NM_001081079	NM_007746	NM_010833		NM_009358	NM_001145433	NM_025701		NM_030069	NM_019641	NR_046144
NM_001081216	NM_008173	NM_011221		NM_009721	NM_001159711	NM_146061		NM_172856	NM_024245	
NM_001083312	NM_009068	NM_011714		NM_009804	NM_001160215	NM_153459			NM_026515	
NM_001085385	NM_019549	NM_012008		NM_009912	NM_001161419	NM_172457			NM_026785	
NM_001100449	NM_026640	NM_017381		NM_010304	NM_001164216	NM_177628			NM_175563	
NM_001113529	NM_133838	NM_020267		NM_011161	NM_001276446				NM_175663	
NM_001122675	NM_172630	NM_023750		NM_011421	NM_001277992					
NM_001130476	NM_172827	NM_025287		NM_011577	NM_001278218					
