Genes	0.15H.IFN_1	0.5H.IFN_1	0.75H.IFN_1	1H.IFN_1	1.25H.IFN_1	1.5H.IFN_1	2.25H.IFN_1	2.75H.IFN_1	3H.IFN_1	3.5H.IFN_1	5H.IFN_1	5.5H.IFN_1	6H.IFN_1	6.5H.IFN_1	7H.IFN_1	8H.IFN_1	9H.IFN_1	10H.IFN_1	11H.IFN_1	12H.IFN_1	13H.IFN_1	14H.IFN_1
AB116376	0.6425139557693562	0.07551719795602733	0.9519659667661169	-1.47414653982867	0.471876908477915	-1.0621352820878693	0.8627783033730466	-0.6523856875102555	-0.3177142533110586	0.47671786405222866	0.7640736760664385	-1.405444031699944	1.7346154966079734	0.7502769862546778	1.2183515734214727	-0.03150510083956156	-0.06655663504086332	0.4684943600744911	-1.9828059068488753	0.8971547748585338	-0.7240538918012768	-1.5975897347099564
AF007246	0.1111564506735688	0.23291094616006378	-2.2051034042396433	0.700748761420003	-2.5283101953207803	-0.8244421741190947	0.028358226900882254	0.44937118047441776	-0.573150707391613	0.5572554537303029	0.700748761420003	0.44937118047441776	-0.7603323518746572	-0.4273398119912584	0.028358226900882254	0.1111564506735688	0.700748761420003	-1.1405937669313926	1.3856275888351757	0.44937118047441776	1.3856275888351757	1.168461653475647
AF045509	-0.3371168193244778	0.30474132414052896	-1.0797266591649664	1.5910911153719454	-2.2337031972551005	-0.5432814611909633	-1.951493000498952	0.8989018232350496	0.23999941165071223	1.4180606372387368	-0.24487302901443125	0.3717829119698707	-0.6823727355418278	-0.24487302901443125	0.43639318573001323	-0.17458402547176735	0.8989018232350496	-0.5432814611909633	0.00508091292669283	-0.43766363951776915	0.3717829119698707	1.936232999717294
AF045513	0.1940213612940585	0.46661999575425467	-2.5866773863881174	1.148254814267876	-1.5962434623039479	-0.16697562845623978	-1.2233783923038368	0.3996178457838056	0.33009437435147093	0.33009437435147093	-0.16697562845623978	0.946250730763729	-0.3355253960870551	0.7553589269498958	-0.28851606271937413	0.33009437435147093	-0.2398667351264029	-1.6305641184112014	1.4846288352040464	-0.28851606271937413	0.7553589269498958	1.3828443129499215
AF124721	0.5229432149292383	-0.7151440435931663	-1.453331198935623	1.2628241083121206	-2.0708665136307745	-0.568943300021289	-0.0968459129766995	0.1850330603866995	-0.23014381100648318	1.2628241083121206	-0.0968459129766995	0.5229432149292383	-0.9963960688180441	-0.33957077488766974	1.2628241083121206	-0.0968459129766995	-0.0968459129766995	-1.2434375020479338	1.9857086077046993	-0.568943300021289	0.024128710428591896	1.5449310315543898
AF150081	-0.9492496686600973	0.33957832079527406	-0.11488006176517648	-1.910974571863259	-1.3142901367495032	-1.2233654773754041	1.488259324358619	1.6927309293437514	1.0249115094626045	0.8766040480507631	-0.14881710230704562	0.53199764671787	0.5066905589992938	0.7580521853241088	-0.11488006176517648	-0.26289853868537405	0.3857086004638439	0.7222356627101019	-1.5788994120904591	0.9384775297409303	-0.28671446107849236	-1.3602768236271596
AF163751	0.15056272825182007	0.17488294771516724	-0.784238651103056	0.9014265614698894	-2.146125456836787	-0.2775818945121539	-1.6646070360322227	0.07997050762108111	0.5521549839209806	0.5240718501394913	-0.5664614252870449	1.3183393340395835	-0.5893986029722537	0.17488294771516724	-0.04546211953820717	-0.1429612399316248	0.41853936980038364	-1.9849671568360683	1.799020460324305	-0.09776420556299253	0.7666054805543836	1.4391106170601888
AF181116	0.70965054717149	1.5407091845888163	-1.0937588346819522	1.2646715673292541	-0.9341782338742665	-0.07431875425544106	-1.520399545404994	-0.388615985044945	-0.5449189786299562	-0.4300533372389782	-1.4659870134027249	0.7908938517303165	-0.778112057069388	0.46180977848178845	-0.40221992034908505	0.5685253261355716	0.2586359938541627	-1.7919809786554612	1.3440700271160195	-0.06750673821888147	1.0796560529247428	1.4734280474938959
AF357427	-0.07678391154265427	-0.007863498862305968	-0.6468035737579121	-0.10961920729197397	-0.6631559815403697	-0.17041035732510945	0.20156889280392568	-0.9395440049617935	0.742329186340546	-0.7939648535134376	-0.3992137918108393	1.7508839521858202	-0.3651484644289148	2.0100090318235573	-0.8025423340183676	1.3983584490177083	-0.7657152402450856	-0.5818936801661441	2.5041886932285298	-0.9553428332284152	-0.666180491166378	-0.6631559815403697
AJ005350	0.9916228893661766	2.136062835274414	-0.9545995644619714	0.6528857009383859	-0.7029950699458399	-1.1768792340627836	-0.8709270011233032	-0.4580462935074084	-0.3247353597772395	-0.7448223461839659	-0.08514021927770482	-0.7859180137272569	-1.075427700651877	-0.24753639783213596	-0.7536350677958636	0.7116359945643638	-0.6586553805372767	-0.4477483330713929	1.4650093721572472	0.23782063844094722	0.8131924547699373	2.278836096444514
AY344585	1.012936454631977	1.8093773282573986	1.1989197859077778	-0.9640840970734695	2.1528534903022365	0.402312972898053	-0.5139263172298633	-0.7654070605378616	-0.19327766229173907	-1.7725565059530477	0.45758275105322166	0.03528309580985679	-0.07260675169889995	-0.5412752078972192	-1.043977105887424	0.8457358385400785	-1.052686832171124	-1.084659034967304	-0.051817171527217924	-0.8775086563675998	-0.04603680505286903	1.06481749125502
AY498738	0.14758287119284597	2.172390332890583	-1.753062510106075	1.2549389755654627	-1.126669529646295	0.11417355307943115	-0.741433742356252	0.4484997652469412	0.2396921290171493	0.5153664582623175	-0.4886107457862557	0.49183876332942617	-0.7374828541413367	-0.4068549456111805	0.3867642101804286	-0.420989341905925	-0.095247689307977	-2.1694068273216343	1.4323770996039211	-0.7561236928585274	0.3683917783742417	1.1238659422987245
BC003274	-0.08250693697553739	0.5703085736124299	-2.3798462760953396	-0.3095227625238063	-2.3798462760953396	-1.075576167320546	0.7863044289913006	0.9601280240527494	1.1662308980554161	1.6164338878591225	0.0767202763661104	-0.3386378924164254	0.0767202763661104	0.44566144055671053	0.5094456503174497	-0.29096022616243666	0.23013880399592238	-1.0989741097479302	0.6833433169345234	-0.3095227625238063	0.10947616602275227	1.0344816667306278
BC005685	0.05925075520023804	0.32808757752498785	1.9766463417939226	1.693506340641403	1.9321340635346267	1.305651177257116	-0.4462291648815914	-1.0974221607295063	-0.9758646074079604	-1.5527437402833926	0.13990304332192716	0.383432479035929	-0.3191359107699211	-1.1950273611687003	-0.7444293392684901	0.9446949545152596	-0.6424093267558862	0.08957709237438663	-0.5951204961139159	-0.4660578863827597	-0.8776945866379365	0.05925075520023804
BC008166	1.0550798980525589	0.42846523183612956	0.6402096543013592	2.016822709994538	0.6145427160281933	0.47134099233284826	-1.4880859271804807	-1.352992023624207	-0.9629244686591647	-0.8159345731173752	-1.3709050337524864	-0.5693616389243287	-1.0930834395600295	-0.8915881705962488	-0.8080190002819273	-0.2703285204057725	0.4418357748725537	-0.02373739931065197	0.5990754805047166	0.695508183783533	0.8793501152605473	1.8047294384457382
BC010581	-1.327365130937527	2.1638160170562846	-1.8883695384620744	1.0168788718477124	-1.7735714061594323	0.9167294606190246	-0.8985216182719408	-0.41271390275580544	0.816808250377237	0.5632323154257183	0.4759940769912794	-0.18417990435878706	1.1434079744353853	-0.8281101384408027	0.3202569022626124	-1.1360123170790493	0.1605373333246211	0.194760548238784	0.3555263791862834	-0.6773605729732415	0.17195561721616537	0.8263007824575921
BC010987	0.7632164260866723	2.753418442740205	0.9669387915840378	-1.467037946714209	-0.6425215219519689	-0.41082907964709603	-0.8843676668066429	-0.370260626288655	-0.09264723919327132	-0.19682169373739183	0.028746448726162672	-0.4712964384611179	1.174321155203299	0.4360217021098997	0.8254364744984773	-0.24020838067803402	0.6791169415069197	-0.12518858732788	-1.691020313229215	0.948642254641873	-0.5091558135457778	-1.4745033295162726
BC015270	-0.06122838370371072	1.6045219275853184	-0.49358877194500916	0.6824572131911986	-1.0193159052424379	0.7731286410319836	-0.36336794088336644	0.6824572131911986	-1.2526431430047058	-0.9205734675791257	-0.688220112646658	-1.1485962453314982	-0.42237318851973427	-1.6334802841500375	0.32209185776429616	-1.2526431430047058	1.2570592203452924	1.8010263942219578	-0.3091236963541179	0.571392489584922	1.548927467684661	0.32209185776429616
BC019454	0.06075043669337019	1.5898541838084352	-0.3139425209531989	1.597697370276327	-1.291453000874573	0.7556556315026671	-2.3587045602198895	0.20364444074815197	-0.216602776505407	-0.4872038897132574	-0.9538147060541293	1.3293299358048658	-0.0025380586524603324	-0.10093548665050028	-0.41201842498078467	0.22638603127997642	-0.14863522078669636	-1.2444149384549357	1.6139358994494313	-0.7437754729347936	-0.12192258144586454	1.0187077086632834
BC024385	-0.5959263450555291	0.5163875396743052	-0.9268685614839541	-1.8646021124949446	-0.8351394156804162	-1.7220784716508348	0.3598146608499385	0.031430333988037074	0.7990887706355017	0.7014577759296815	0.19318261411833312	-0.3345153468911559	0.9985454363847377	0.2972438820764382	1.2063873334149902	0.3728398900627901	0.5814654759480063	1.1231415128996436	-1.4169313625472373	1.8174315616659018	0.22372941983060404	-1.5260845916748422
BC028561	0.813602522021663	0.7505636840720049	-0.9714270304731447	1.5624788414782915	-0.2106442997957405	0.24540597249384125	-1.8014857786282947	-0.8139507273379033	-0.6832476006404572	-0.9601860205332974	-1.2931386170697639	0.848294601080769	-0.4143773202732518	-0.18145625701376797	-0.0338497516336066	-0.0032621118199224384	-0.017711798707333477	-1.0741687374556357	1.6341841452734294	-0.5039441807755193	1.0635750205008156	2.044745445236848
BC056623	0.7978439327272829	-2.0855629189925096	-2.3726881016265113	-0.07796257129416609	-1.1104851070010098	-0.7268807293804725	-0.5415207092595361	-0.3941424189597773	-0.33395562166675125	0.03472014082068756	0.15222580598270075	0.6638576733906048	-0.5998393816400702	0.18999150368209808	0.19482800625209878	0.793915571723005	0.4445102218969537	0.13880636450504252	1.5170302492444903	0.20226345578234475	1.3089612940649262	1.804083339748625
